"session_id","fullscreen","hq","music","hover_duration","n_actions","elapsed_time","n_event_name","n_name","n_fqid","n_room_fqid","n_text_fqid","n_notebook_click","n_object_hover","n_map_hover","n_cutscene_click","n_person_click","n_navigate_click","n_observation_click","n_notification_click","n_object_click","n_map_click","n_page1","n_page0","n_historicalsociety","n_kohlcenter","n_capitol","correctness","q1","q2","q3"
"20090312431273200",0,0,1,19116,165,194860,10,3,31,7,18,0,4,4,28,22,81,4,8,11,2,0,0,130,33,2,1,1,1,1
"20090312433251036",0,0,0,11030,139,233752,11,4,23,6,12,2,5,3,36,18,49,2,5,15,3,0,2,105,32,2,0.666666666666667,0,1,1
"20090312455206810",1,1,1,9437,149,363226,9,3,23,6,13,0,1,2,49,18,57,0,9,10,2,0,0,124,23,2,1,1,1,1
"20090313091715820",1,1,1,13420,176,192793,11,4,25,6,15,2,5,2,34,22,80,2,8,18,2,0,2,140,32,4,0.666666666666667,0,1,1
"20090313571836404",0,0,1,11065,112,195851,10,4,23,6,13,4,5,2,26,19,35,0,8,9,3,0,4,86,24,2,1,1,1,1
"20090314035813970",0,0,1,35979,154,424724,11,4,27,6,20,10,5,1,31,24,53,6,9,12,2,0,10,127,25,2,1,1,1,1
"20090314121766812",0,0,1,16034,165,393360,11,4,27,7,16,10,9,1,26,19,64,6,8,19,2,3,7,117,46,2,1,1,1,1
"20090314221187252",1,1,1,10491,210,174432,11,4,24,6,15,4,5,3,41,22,103,2,9,18,2,0,4,152,51,7,0.666666666666667,0,1,1
"20090314363702160",0,0,1,47680,146,217574,9,3,22,7,12,0,8,2,32,18,66,0,6,11,2,0,0,104,39,3,1,1,1,1
"20090314441803444",0,0,0,12747,107,176953,9,3,23,7,11,0,5,4,29,18,37,0,5,6,2,0,0,79,26,2,1,1,1,1
"20090315081004164",0,0,1,28549,188,341352,10,3,26,7,15,0,6,1,36,18,78,2,9,35,2,0,0,134,51,3,0.666666666666667,0,1,1
"20090315085850788",1,0,1,56081,167,425423,11,5,24,7,14,13,7,2,31,18,73,2,9,9,2,3,10,125,40,2,1,1,1,1
"20090315101457836",1,1,1,31603,164,269374,11,4,25,7,13,7,7,4,31,18,77,1,6,10,2,0,7,118,41,5,1,1,1,1
