"session_id","fullscreen","hq","music","hover_duration","n_actions","elapsed_time","n_event_name","n_name","n_fqid","n_room_fqid","n_text_fqid","n_notebook_click","n_object_hover","n_map_hover","n_cutscene_click","n_person_click","n_navigate_click","n_observation_click","n_notification_click","n_object_click","n_map_click","n_page1","n_page2","n_page3","n_page0","n_historicalsociety","n_kohlcenter","n_capitol","n_humanecology","n_drycleaner","n_library","correctness","q4","q5","q6","q7","q8","q9","q10","q11","q12","q13","cp1","q1","q2","q3"
"20090312431273200",0,0,1,29080,296,277750,10,3,40,11,25,0,21,9,12,104,103,1,9,28,8,0,0,0,0,151,0,22,44,33,46,0.9,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"20090312433251036",0,0,0,51094,395,550726,11,4,46,11,23,7,32,30,11,97,115,3,9,74,16,3,0,4,0,198,0,38,35,32,92,0.5,1,0,1,1,0,1,0,0,1,0,0.666666666666667,0,1,1
"20090312455206810",1,1,1,20359,245,252444,11,4,42,11,20,6,10,16,13,96,67,1,9,19,7,2,0,4,0,125,0,22,30,26,42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"20090313091715820",1,1,1,58629,326,516444,11,4,46,11,26,5,23,16,12,102,102,4,9,43,9,5,0,0,0,152,0,19,54,31,70,0.6,1,1,0,1,1,1,0,0,1,0,0.666666666666667,0,1,1
"20090313571836404",0,0,1,24736,242,306838,11,5,42,11,23,7,15,3,11,96,73,3,9,18,6,0,3,4,0,126,0,8,38,23,47,0.9,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"20090314035813970",0,0,1,59449,327,701857,11,6,44,11,24,5,12,17,11,126,105,3,9,29,9,3,0,0,2,169,0,26,35,38,59,0.6,1,0,1,1,1,1,0,0,1,0,1,1,1,1
"20090314121766812",0,0,1,85339,385,579628,11,4,46,11,24,25,28,24,14,98,131,2,9,44,9,17,4,4,0,230,0,8,52,29,66,0.5,0,0,1,1,0,0,1,1,1,0,1,1,1,1
"20090314221187252",1,1,1,35184,301,276618,11,4,41,11,24,9,14,7,19,112,101,1,10,21,6,5,0,4,0,150,0,18,40,43,50,0.3,0,1,0,0,1,0,0,0,1,0,0.666666666666667,0,1,1
"20090314363702160",0,0,1,38988,296,305623,10,3,41,11,21,0,18,12,11,114,99,2,9,23,7,0,0,0,0,145,0,13,44,41,53,0.9,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"20090314441803444",0,0,0,49614,258,331578,10,3,39,11,20,0,24,10,11,93,76,1,9,27,6,0,0,0,0,139,0,8,30,28,53,0.6,1,1,1,0,1,0,1,0,1,0,1,1,1,1
"20090315081004164",0,0,1,67812,441,1033385,11,4,47,11,27,2,32,50,13,103,184,4,9,31,12,0,0,2,0,186,0,62,87,29,77,0.7,1,0,0,1,1,1,1,0,1,1,0.666666666666667,0,1,1
"20090315085850788",1,0,1,88102,321,655530,11,4,45,11,25,22,23,19,11,102,99,4,9,24,7,12,6,4,0,158,0,12,44,32,75,0.7,1,0,1,1,1,1,0,1,1,0,1,1,1,1
"20090315101457836",1,1,1,41447,379,456155,11,4,46,11,25,19,24,33,11,107,133,4,9,31,7,8,6,5,0,179,0,35,40,34,91,0.8,1,1,1,1,0,1,0,1,1,1,1,1,1,1
"20090315170769824",0,0,1,62111,336,462844,11,6,45,11,24,24,17,3,13,116,117,4,9,26,6,14,4,2,4,188,0,5,45,40,58,0.8,1,1,1,1,1,1,1,0,1,0,1,1,1,1
"20090315270479452",0,0,1,41229,339,327111,11,4,45,11,24,15,21,9,16,119,92,4,10,45,7,7,4,4,0,159,0,14,48,50,68,0.3,1,0,0,1,0,1,0,0,0,0,0.666666666666667,0,1,1
"20090316152177500",0,0,1,123416,386,816173,10,3,47,11,25,0,36,21,12,127,133,2,9,36,9,0,0,0,0,211,0,27,42,43,63,0.6,1,0,1,1,1,1,0,0,1,0,1,1,1,1
"20090316190523732",0,0,1,29990,296,322822,10,3,40,11,21,0,16,11,11,117,89,1,9,34,7,0,0,0,0,144,0,10,44,43,55,0.9,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"20090317080721164",0,0,1,171723,686,922882,11,4,49,13,28,2,66,21,11,141,215,5,9,199,16,0,2,0,0,281,7,92,173,42,91,0.1,0,0,0,0,1,0,0,0,0,0,0.333333333333333,0,0,1
"20090317111400710",0,0,1,122030,535,2592280,11,6,53,13,30,16,36,46,16,108,203,5,12,74,18,4,7,4,1,252,41,73,48,44,77,0.5,1,0,0,1,0,0,0,1,1,1,1,1,1,1
"20090317414400068",0,0,1,72633,365,698530,11,4,45,12,31,9,20,9,11,123,143,4,12,24,9,6,3,0,0,171,0,51,44,27,72,0.7,1,0,1,1,0,1,1,1,1,0,1,1,1,1
"20090318021527530",0,0,1,68280,669,631935,11,4,46,12,30,2,33,32,11,136,284,7,9,138,16,0,2,0,0,343,43,59,72,53,99,0.5,1,0,0,1,1,0,0,1,1,0,0.666666666666667,0,1,1
"20090318322359292",0,0,1,50548,433,4379463,11,5,48,12,27,17,16,5,11,99,211,12,9,41,11,10,4,2,1,253,0,17,49,29,85,0.8,1,1,1,1,1,1,1,0,1,0,1,1,1,1
"20090318541618010",0,0,1,58066,375,647763,11,4,46,13,21,24,31,8,13,114,131,1,9,32,11,9,7,8,0,185,20,22,39,45,64,0.4,1,0,1,1,0,1,0,0,0,0,1,1,1,1
