"session_id","fullscreen","hq","music","hover_duration","n_actions","elapsed_time","n_event_name","n_name","n_fqid","n_room_fqid","n_text_fqid","n_notebook_click","n_object_hover","n_map_hover","n_cutscene_click","n_person_click","n_navigate_click","n_observation_click","n_notification_click","n_object_click","n_map_click","n_page1","n_page2","n_page3","n_page4","n_page5","n_page6","n_page0","n_historicalsociety","n_kohlcenter","n_capitol","n_humanecology","n_drycleaner","n_library","n_wildlifecenter","n_flaghouse","correctness","q14","q15","q16","q17","q18","cp1","cp2","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","q11","q12","q13"
"20090312431273200",0,0,1,24298,420,435947,10,3,50,12,36,0,13,14,60,123,170,3,10,20,6,0,0,0,0,0,0,0,232,0,12,0,0,40,104,32,0.8,1,1,0,1,1,1,0.9,1,1,1,1,1,1,1,1,1,1,1,1,0
"20090312433251036",0,0,0,181537,1297,2638851,11,6,74,16,44,50,66,186,65,145,637,5,14,83,45,0,0,0,16,13,21,0,531,104,183,77,59,135,157,51,0.6,1,0,1,0,1,0.666666666666667,0.5,0,1,1,1,0,1,1,0,1,0,0,1,0
"20090312455206810",1,1,1,26383,364,441383,11,4,48,12,31,26,13,12,58,101,123,3,6,11,10,0,0,0,8,4,14,0,211,0,11,0,0,42,68,32,0.8,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"20090313091715820",1,1,1,39460,491,645004,11,4,55,14,37,2,17,21,66,110,234,4,11,18,7,0,0,0,2,0,0,0,297,0,29,0,0,40,91,34,0.8,1,0,1,1,1,0.666666666666667,0.6,0,1,1,1,1,0,1,1,1,0,0,1,0
"20090313571836404",0,0,1,30233,392,489132,10,3,53,13,35,0,11,10,55,107,171,5,8,15,9,0,0,0,0,0,0,0,242,0,14,0,0,34,71,31,0.8,0,1,1,1,1,1,0.9,1,1,1,1,1,1,1,1,1,1,1,0,1
"20090314035813970",0,0,1,67979,490,843761,11,4,54,13,37,3,19,19,79,124,188,3,21,27,6,0,0,0,0,3,0,0,292,0,12,0,0,41,117,28,0.6,1,0,1,0,1,1,0.6,1,1,1,1,0,1,1,1,1,0,0,1,0
"20090314121766812",0,0,1,57767,488,735587,11,4,58,12,36,27,22,35,58,104,190,6,17,21,7,0,0,0,9,14,4,0,270,0,15,0,0,53,117,33,0.8,1,1,1,0,1,1,0.5,1,1,1,0,0,1,1,0,0,1,1,1,0
"20090314221187252",1,1,1,129564,1007,1999756,11,4,68,16,38,24,39,45,61,134,583,3,10,79,28,0,0,2,0,8,14,0,549,44,28,45,12,104,184,41,0.8,1,1,1,0,1,0.666666666666667,0.3,0,1,1,0,1,0,0,1,0,0,0,1,0
"20090314363702160",0,0,1,52627,624,3494858,11,4,60,13,32,6,23,36,76,125,299,4,8,34,12,0,0,0,0,2,4,0,308,0,54,0,0,85,146,31,0.6,1,0,0,1,1,1,0.9,1,1,1,1,1,1,1,1,1,1,1,1,0
"20090314441803444",0,0,0,46174,424,516098,10,3,54,12,32,0,35,12,57,102,158,4,8,41,6,0,0,0,0,0,0,0,230,0,9,0,0,89,68,28,1,1,1,1,1,1,1,0.6,1,1,1,1,1,1,0,1,0,1,0,1,0
"20090315081004164",0,0,1,69870,898,1043334,10,3,71,16,39,0,46,64,65,110,514,7,16,53,22,0,0,0,0,0,0,0,457,32,53,77,19,91,129,40,1,1,1,1,1,1,0.666666666666667,0.7,0,1,1,1,0,0,1,1,1,1,0,1,1
"20090315085850788",1,0,1,93629,465,1017821,11,4,55,12,31,29,25,14,62,97,194,3,13,21,6,0,0,2,9,7,11,0,279,0,13,0,0,51,92,30,0.6,1,0,1,0,1,1,0.7,1,1,1,1,0,1,1,1,1,0,1,1,0
"20090315101457836",1,1,1,50936,557,571181,11,4,57,13,38,11,27,34,63,114,237,4,12,44,10,0,0,0,5,2,4,0,340,0,20,0,0,55,106,36,0.8,1,1,0,1,1,1,0.8,1,1,1,1,1,1,1,0,1,0,1,1,1
"20090315170769824",0,0,1,44241,493,616952,11,5,58,13,36,14,11,18,79,129,201,5,8,17,10,0,0,0,5,7,2,0,300,0,6,0,0,42,121,24,0.8,1,1,1,0,1,1,0.8,1,1,1,1,1,1,1,1,1,1,0,1,0
"20090315270479452",0,0,1,30729,561,517873,11,4,49,13,33,24,10,14,78,166,222,5,12,21,8,0,0,0,6,10,8,0,294,0,11,0,0,50,169,37,0.2,0,0,0,0,1,0.666666666666667,0.3,0,1,1,1,0,0,1,0,1,0,0,0,0
"20090316152177500",0,0,1,172765,933,1653669,11,5,67,15,42,25,33,59,71,152,501,5,14,54,18,1,1,3,8,2,9,1,502,0,60,23,13,92,182,61,0.4,1,0,0,0,1,1,0.6,1,1,1,1,0,1,1,1,1,0,0,1,0
"20090316190523732",0,0,1,24746,487,423281,11,4,55,12,35,2,22,16,72,147,178,6,6,28,9,0,0,0,0,0,2,0,255,0,13,0,0,58,128,33,0.8,1,0,1,1,1,1,0.9,1,1,1,1,1,1,1,1,1,1,1,1,0
"20090317080721164",0,0,1,70531,516,803688,11,4,56,12,39,17,17,21,76,135,192,4,14,31,8,0,0,0,5,10,2,0,280,0,13,0,0,48,136,39,0.4,0,0,1,0,1,0.333333333333333,0.1,0,0,1,0,0,0,0,1,0,0,0,0,0
"20090317111400710",0,0,1,74557,516,1269404,11,4,55,13,37,5,18,48,57,116,232,5,8,18,8,0,0,0,3,0,2,0,300,0,30,0,0,48,108,30,0.8,1,1,0,1,1,1,0.5,1,1,1,1,0,0,1,0,0,0,1,1,1
"20090317414400068",0,0,1,40069,412,684606,11,4,50,12,36,7,16,13,53,114,167,5,10,17,9,0,0,0,4,3,0,0,221,0,21,0,0,41,103,26,0.6,1,0,1,0,1,1,0.7,1,1,1,1,0,1,1,0,1,1,1,1,0
"20090318021527530",0,0,1,69905,1198,2237552,11,4,59,16,40,2,17,106,74,150,756,4,13,37,38,0,0,0,0,0,2,0,601,81,123,54,27,146,137,29,0.6,0,0,1,1,1,0.666666666666667,0.5,0,1,1,1,0,0,1,1,0,0,1,1,0
"20090318322359292",0,0,1,34028,506,615257,11,5,53,12,36,16,12,8,60,106,258,5,11,23,6,0,0,2,4,8,2,0,292,0,19,0,0,45,124,26,0.8,0,1,1,1,1,1,0.8,1,1,1,1,1,1,1,1,1,1,0,1,0
"20090318541618010",0,0,1,39666,655,974631,11,4,55,16,37,40,17,42,75,146,286,4,6,14,24,0,0,0,13,12,15,0,258,20,50,36,8,86,140,57,1,1,1,1,1,1,1,0.4,1,1,1,1,0,1,1,0,1,0,0,0,0
"20090319012741024",0,0,1,45612,530,662043,11,4,56,13,36,4,22,16,81,134,229,4,8,25,6,0,0,0,0,2,2,0,249,0,15,0,0,61,165,40,0.2,0,0,0,0,1,0.333333333333333,0.4,0,1,0,0,0,0,1,1,1,0,0,1,0
"20090320140443148",0,0,1,109273,1193,36063387,10,3,59,16,36,0,17,82,81,134,798,6,6,29,39,0,0,0,0,0,0,0,623,47,84,18,23,177,155,66,0.6,0,0,1,1,1,0.333333333333333,0.1,0,1,0,1,0,0,0,0,0,0,0,0,0
"20100000291486630",0,0,1,32531,413,427749,10,3,51,12,35,0,19,15,56,117,169,4,8,16,8,0,0,0,0,0,0,0,233,0,35,0,0,41,78,26,0.6,0,0,1,1,1,0.666666666666667,0.5,0,1,1,0,1,0,1,0,0,1,1,1,0
"20100000404860470",0,0,1,29915,396,741519,11,4,51,12,35,16,13,17,60,109,146,4,8,14,8,0,0,0,2,8,6,0,201,0,5,0,0,46,108,36,0.6,0,0,1,1,1,1,0.6,1,1,1,1,1,0,0,1,1,1,0,1,0
"20100006432365430",0,0,1,31715,454,497965,11,5,55,14,38,13,13,19,58,111,185,5,10,26,13,0,0,0,1,8,4,0,249,0,35,13,8,41,74,34,0.8,1,1,1,0,1,0.666666666666667,0.8,0,1,1,1,1,1,1,1,1,0,1,1,0
"20100007011166932",0,0,1,44486,565,723989,10,3,60,15,42,0,23,39,71,131,224,4,16,45,11,0,0,0,0,0,0,0,345,0,17,14,7,58,92,32,0.8,1,0,1,1,1,1,0.8,1,1,1,1,1,1,1,1,1,1,1,0,0
"20100007445515820",0,0,1,0,477,317890,8,3,49,13,30,0,0,0,60,111,260,5,6,24,10,0,0,0,0,0,0,0,249,0,37,0,0,53,101,37,0.8,0,1,1,1,1,0.666666666666667,0.7,0,1,1,1,0,1,1,0,0,1,1,1,1
"20100008103581056",0,0,1,64525,606,1302993,11,4,55,12,36,17,16,21,76,134,285,4,8,35,9,0,0,0,4,9,4,0,307,0,25,0,0,36,209,29,1,1,1,1,1,1,1,0.7,1,1,1,1,1,1,1,0,1,1,0,1,0
"20100008262217530",0,0,1,99026,432,923642,11,4,56,13,32,4,16,20,76,117,156,6,8,22,6,0,0,2,0,2,0,0,258,0,10,0,0,40,96,28,1,1,1,1,1,1,1,0.9,1,1,1,1,1,1,1,1,1,0,1,1,1
"20100008572266050",0,0,1,48970,813,1464276,11,6,57,16,38,57,16,41,58,138,451,7,6,23,15,2,3,4,23,17,6,2,289,22,15,20,6,89,342,30,0.2,0,0,0,0,1,0.666666666666667,0.3,0,1,1,1,0,0,0,1,0,0,1,0,0
"20100009003806170",0,0,1,53882,537,1263504,11,4,57,13,34,12,19,41,71,126,220,6,11,16,14,0,0,0,2,4,6,0,333,0,40,0,0,35,97,32,0.6,1,0,0,1,1,1,0.4,1,1,1,1,0,1,1,0,0,0,0,1,0
"20100009303098716",0,0,1,67711,497,826864,11,4,59,12,37,12,26,45,59,107,186,4,14,29,14,0,0,2,4,4,2,0,303,0,24,0,0,60,78,32,0.6,1,0,0,1,1,0.666666666666667,0.6,0,1,1,1,0,1,1,1,1,1,0,0,0
"20100009314461780",1,0,1,39111,455,1973418,11,4,56,12,34,26,24,13,60,102,185,3,8,26,7,0,0,4,10,10,2,0,280,0,17,0,0,42,81,35,0.8,1,0,1,1,1,1,0.7,1,1,1,1,0,1,0,1,1,1,0,1,1
